The Input Data to the Controller and Out From Carla
x, y, yaw,v,t
-182.568176,66.366241,-1.513196,2.516937,8.068000
-182.563293,66.282280,-1.513174,2.524810,8.101000
-182.558411,66.198067,-1.513150,2.532708,8.134000
-182.553497,66.113586,-1.513127,2.540627,8.167000
-182.548569,66.028839,-1.513104,2.548572,8.200000
-182.543625,65.943832,-1.513081,2.556543,8.233000
-182.538666,65.858551,-1.513060,2.564539,8.266000
-182.533707,65.773010,-1.513038,2.572555,8.299000
-182.529617,65.687164,-1.513657,2.580093,8.332000
-182.525543,65.601036,-1.514334,2.588262,8.365000
-182.521301,65.514648,-1.514861,2.596508,8.398000
-182.516922,65.428001,-1.515239,2.604745,8.431000
-182.512421,65.341080,-1.515498,2.612959,8.464000
-182.507828,65.253899,-1.515673,2.621175,8.497000
-182.503159,65.166435,-1.515787,2.629416,8.530000
-182.498428,65.078697,-1.515859,2.637671,8.563000
-182.493652,64.990700,-1.515901,2.645924,8.596000
-182.488846,64.902428,-1.515923,2.654197,8.629000
-182.483994,64.813873,-1.515930,2.662502,8.662000
-182.479111,64.725044,-1.515929,2.670851,8.695000
-182.475128,64.635910,-1.516542,2.678729,8.728000
-182.471130,64.546486,-1.517212,2.687230,8.761000
-182.466934,64.456787,-1.517728,2.695836,8.794000
-182.462631,64.366806,-1.518090,2.704472,8.827000
-182.458176,64.276543,-1.518333,2.713123,8.860000
-182.453644,64.185997,-1.518491,2.721781,8.893000
-182.449036,64.095169,-1.518590,2.730452,8.926000
-182.444366,64.004051,-1.518648,2.739135,8.959000
-182.439651,63.912651,-1.518678,2.747822,8.992000
-182.434891,63.820957,-1.518691,2.756507,9.025000
-182.430115,63.728977,-1.518691,2.765185,9.058000
-182.425308,63.636711,-1.518682,2.773880,9.091000
-182.421341,63.544125,-1.519275,2.782133,9.124000
-182.417374,63.451241,-1.519928,2.790944,9.157000
-182.413239,63.358070,-1.520427,2.799821,9.190000
-182.408966,63.264614,-1.520770,2.808714,9.223000
-182.404572,63.170868,-1.520995,2.817627,9.256000
-182.400055,63.076824,-1.521135,2.826554,9.289000
-182.395477,62.982494,-1.521218,2.835513,9.322000
-182.390869,62.887859,-1.521264,2.844508,9.355000
-182.386200,62.792927,-1.521285,2.853534,9.388000
-182.381500,62.697701,-1.521289,2.862589,9.421000
-182.376755,62.602161,-1.521284,2.871666,9.454000
-182.372849,62.506302,-1.521858,2.880316,9.487000
-182.368958,62.410130,-1.522495,2.889479,9.520000
-182.364883,62.313667,-1.522978,2.898736,9.553000
-182.360641,62.216892,-1.523303,2.908015,9.586000
-182.356308,62.119820,-1.523512,2.917291,9.619000
-182.351852,62.022446,-1.523636,2.926580,9.652000
-182.347336,61.924759,-1.523705,2.935889,9.685000
-182.342773,61.826767,-1.523741,2.945230,9.718000
-182.338165,61.728466,-1.523753,2.954582,9.751000
-182.333527,61.629848,-1.523752,2.963926,9.784000
-182.328888,61.530922,-1.523741,2.973279,9.817000
-182.324997,61.431660,-1.524295,2.982239,9.850000
-182.321152,61.332085,-1.524913,2.991691,9.883000
-182.317139,61.232197,-1.525381,3.001231,9.916000
-182.312988,61.131996,-1.525690,3.010799,9.949000
-182.308685,61.031483,-1.525881,3.020388,9.982000
-182.304291,60.930653,-1.525990,3.029993,10.015000
-182.299835,60.829506,-1.526048,3.039636,10.048000
-182.295334,60.728035,-1.526073,3.049338,10.081000
-182.290802,60.626247,-1.526079,3.059078,10.114000
-182.286224,60.524136,-1.526071,3.068837,10.147000
-182.282440,60.421669,-1.526606,3.078220,10.180000
-182.278641,60.318874,-1.527207,3.088053,10.213000
-182.274689,60.215767,-1.527657,3.097973,10.246000
-182.270584,60.112328,-1.527951,3.107902,10.279000
-182.266342,60.008564,-1.528126,3.117844,10.312000
-182.262024,59.904472,-1.528223,3.127812,10.345000
-182.257645,59.800053,-1.528270,3.137813,10.378000
-182.253220,59.695301,-1.528286,3.147846,10.411000
-182.248749,59.590218,-1.528285,3.157904,10.444000
-182.244278,59.484787,-1.528274,3.167989,10.477000
-182.240524,59.379009,-1.528787,3.177734,10.510000
-182.236816,59.272884,-1.529369,3.187892,10.543000
-182.232910,59.166428,-1.529803,3.198106,10.576000
-182.228867,59.059643,-1.530081,3.208349,10.609000
-182.224701,58.952518,-1.530241,3.218607,10.642000
-182.220444,58.845058,-1.530325,3.228878,10.675000
-182.216125,58.737251,-1.530362,3.239188,10.708000
-182.211792,58.629105,-1.530370,3.249521,10.741000
-182.207397,58.520618,-1.530365,3.259854,10.774000
-182.202988,58.411781,-1.530350,3.270205,10.807000
-182.199295,58.302578,-1.530844,3.280252,10.840000
-182.195618,58.193035,-1.531408,3.290704,10.873000
-182.191788,58.083141,-1.531827,3.301237,10.906000
-182.187805,57.972904,-1.532091,3.311803,10.939000
-182.183701,57.862320,-1.532239,3.322397,10.972000
-182.179520,57.751377,-1.532310,3.333031,11.005000
-182.175293,57.640087,-1.532338,3.343711,11.038000
-182.171005,57.528442,-1.532340,3.354424,11.071000
-182.166672,57.416435,-1.532330,3.365155,11.104000
-182.163055,57.304050,-1.532805,3.375615,11.137000
-182.159470,57.191311,-1.533351,3.386464,11.170000
-182.155716,57.078213,-1.533754,3.397377,11.203000
-182.151810,56.964756,-1.534003,3.408320,11.236000
-182.147781,56.850937,-1.534137,3.419297,11.269000
-182.143692,56.736755,-1.534199,3.430300,11.302000
-182.139526,56.622208,-1.534217,3.441328,11.335000
-182.135330,56.507294,-1.534213,3.452375,11.368000
-182.131104,56.392014,-1.534199,3.463444,11.401000
-182.126846,56.276360,-1.534180,3.474530,11.434000
-182.123276,56.160320,-1.534636,3.485346,11.467000
-182.119736,56.043911,-1.535166,3.496493,11.500000
-182.116028,55.927128,-1.535557,3.507715,11.533000
-182.112183,55.809978,-1.535794,3.518991,11.566000
-182.108215,55.692463,-1.535917,3.530299,11.599000
-182.104172,55.574566,-1.535969,3.541620,11.632000
-182.100067,55.456299,-1.535981,3.552968,11.665000
-182.095932,55.337650,-1.535973,3.564354,11.698000
-182.091766,55.218616,-1.535956,3.575783,11.731000
-182.088272,55.099194,-1.536395,3.586990,11.764000
-182.084793,54.979378,-1.536908,3.598535,11.797000
-182.081161,54.859188,-1.537285,3.610153,11.830000
-182.077377,54.738613,-1.537509,3.621802,11.863000
-182.073486,54.617649,-1.537621,3.633478,11.896000
-182.069534,54.496296,-1.537664,3.645179,11.929000
-182.065506,54.374557,-1.537668,3.656896,11.962000
-182.061447,54.252434,-1.537655,3.668618,11.995000
-182.058029,54.129902,-1.538075,3.680125,12.028000
-182.054611,54.006977,-1.538567,3.691945,12.061000
-182.051071,53.883659,-1.538927,3.703819,12.094000
-182.047363,53.759956,-1.539138,3.715724,12.127000
-182.043533,53.635849,-1.539238,3.727671,12.160000
-182.039642,53.511353,-1.539272,3.739643,12.193000
-182.035721,53.386456,-1.539271,3.751652,12.226000
-182.031769,53.261162,-1.539255,3.763698,12.259000
-182.027786,53.135456,-1.539233,3.775779,12.292000
