The Out Data from the Controller and In to Carla
throttle_output,brake_output,steer_output
0.385082,0.000000,-0.008932
0.385657,0.000000,-0.006160
0.386227,0.000000,-0.004118
0.387272,0.000000,-0.002631
0.387829,0.000000,-0.001568
0.388365,0.000000,-0.000799
0.388890,0.000000,-0.000251
0.389413,0.000000,0.000136
0.390716,0.000000,0.000409
0.391230,0.000000,0.000584
0.391718,0.000000,0.000707
0.392968,0.000000,0.000776
0.393421,0.000000,0.000828
0.393845,0.000000,0.000849
0.395034,0.000000,0.000852
0.395309,0.000000,0.000850
0.396465,0.000000,0.000841
0.396828,0.000000,0.000828
0.397947,0.000000,0.000800
0.398272,0.000000,0.000781
0.399352,0.000000,0.000758
0.400418,0.000000,-0.029217
0.401081,0.000000,-0.023459
0.402028,0.000000,-0.016930
0.402140,0.000000,-0.011759
0.403035,0.000000,-0.007972
0.403949,0.000000,-0.005289
0.404913,0.000000,-0.003394
0.405030,0.000000,-0.002078
0.405912,0.000000,-0.001175
0.406797,0.000000,-0.000547
0.407667,0.000000,-0.000115
0.408511,0.000000,0.000159
0.409323,0.000000,-0.028116
0.410502,0.000000,-0.022338
0.411197,0.000000,-0.015830
0.411809,0.000000,-0.010730
0.412399,0.000000,-0.007049
0.412977,0.000000,-0.004495
0.413773,0.000000,-0.002736
0.414337,0.000000,-0.001547
0.414892,0.000000,-0.000743
0.415443,0.000000,-0.000220
0.415996,0.000000,0.000129
0.417331,0.000000,0.000360
0.417877,0.000000,-0.026599
0.418768,0.000000,-0.021000
0.419225,0.000000,-0.014629
0.420407,0.000000,-0.009652
0.420801,0.000000,-0.006135
0.421573,0.000000,-0.003737
0.422717,0.000000,-0.002155
0.423061,0.000000,-0.001108
0.424152,0.000000,-0.000417
0.424445,0.000000,0.000018
0.425490,0.000000,0.000292
0.425743,0.000000,-0.025257
0.427105,0.000000,-0.019798
0.428069,0.000000,-0.013550
0.428183,0.000000,-0.008714
0.429057,0.000000,-0.005357
0.429717,0.000000,-0.003102
0.430583,0.000000,-0.001664
0.431434,0.000000,-0.000749
0.431485,0.000000,-0.000164
0.432303,0.000000,0.000192
0.433127,0.000000,0.000413
0.433945,0.000000,-0.023901
0.435070,0.000000,-0.018642
0.435813,0.000000,-0.012554
0.436487,0.000000,-0.007845
0.437139,0.000000,-0.004618
